period_start,post_count
2024-03-20,417
2024-03-21,464
2024-03-22,492
2024-03-23,342
2024-03-24,272
2024-03-25,354
2024-03-26,786
2024-03-27,580
2024-03-28,594
2024-03-29,347
2024-03-30,325
2024-03-31,360
2024-04-01,455
2024-04-02,396
2024-04-03,475
2024-04-04,425
2024-04-05,410
2024-04-06,397
2024-04-07,328
2024-04-08,595
2024-04-09,619
2024-04-10,495
2024-04-11,394
2024-04-12,393
2024-04-13,391
2024-04-14,290
2024-04-15,463
2024-04-16,468
2024-04-17,499
2024-04-18,495
2024-04-19,409
2024-04-20,397
2024-04-21,489
2024-04-22,475
2024-04-23,591
2024-04-24,590
2024-04-25,490
2024-04-26,496
2024-04-27,396
2024-04-28,355
2024-04-29,490
2024-04-30,494
2024-05-01,399
2024-05-02,485
2024-05-03,413
2024-05-04,393
2024-05-05,396
2024-05-06,397
2024-05-07,494
2024-05-08,438
2024-05-09,595
2024-05-10,409
2024-05-11,379
2024-05-12,396
2024-05-13,430
2024-05-14,590
2024-05-15,514
2024-05-16,582
2024-05-17,515
2024-05-18,398
2024-05-19,304
2024-05-20,460
2024-05-21,524
2024-05-22,537
2024-05-23,593
2024-05-24,582
2024-05-25,392
2024-05-26,350
2024-05-27,347
2024-05-28,563
2024-05-29,589
2024-05-30,546
2024-05-31,475
2024-06-01,398
2024-06-02,328
2024-06-03,426
2024-06-04,477
2024-06-05,597
2024-06-06,685
2024-06-07,581
2024-06-08,541
2024-06-09,359
2024-06-10,496
2024-06-11,432
2024-06-12,498
2024-06-13,581
2024-06-14,408
2024-06-15,499
2024-06-16,345
2024-06-17,1078
2024-06-18,603
2024-06-19,299
2024-06-20,497
2024-06-21,536
2024-06-22,399
2024-06-23,327
2024-06-24,492
2024-06-25,508
2024-06-26,547
2024-06-27,620
2024-06-28,507
2024-06-29,403
2024-06-30,395
2024-07-01,495
2024-07-02,411
2024-07-03,453
2024-07-04,392
2024-07-05,416
2024-07-06,399
2024-07-07,378
2024-07-08,543
2024-07-09,570
2024-07-10,549
2024-07-11,590
2024-07-12,522
2024-07-13,416
2024-07-14,264
2024-07-15,434
2024-07-16,626
2024-07-17,571
2024-07-18,573
2024-07-19,501
2024-07-20,487
2024-07-21,373
2024-07-22,399
2024-07-23,421
2024-07-24,580
2024-07-25,534
2024-07-26,582
2024-07-27,456
2024-07-28,393
2024-07-29,517
2024-07-30,593
2024-07-31,584
2024-08-01,571
2024-08-02,592
2024-08-03,308
